,f1_score,precision,recall,roc_auc
Naive Bayes,0.9336839030090565,0.9336839030090563,0.9336839030090563,0.9978348884478747
Logistic Regression,0.9592462751971954,0.9592462751971954,0.9592462751971954,0.9978348884478747
